Price,Type,Rooms_group,Bathroom_group,Car_group,date_month,YearBuilt,BuildingArea,Landsize,Suburb,Distance,CouncilArea,Postcode,airbnb_entire_home_price_mean,airbnb_one_room_price_mean,airbnb_location_score_mean
750000.0,u,2,2,1,2016-12,2009.0,94.0,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1172500.0,h,2,1,1,2016-08,,,195.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
441000.0,u,1,1,1,2016-05,,,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1310000.0,h,2,1,2,2016-10,1890.0,97.0,238.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1200000.0,h,3,2,1,2016-07,1880.0,110.0,113.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1176500.0,h,3,1,1,2016-07,1890.0,105.0,138.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
955000.0,h,3,1,0,2016-09,,,183.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
890000.0,h,2,1,1,2016-09,1985.0,73.0,150.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1330000.0,h,4,2,2,2017-03,1900.0,135.0,780.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
900000.0,t,3,2,2,2017-03,2010.0,,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
500000.0,u,2,1,1,2016-06,1970.0,60.0,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1100000.0,h,2,2,1,2016-06,2013.0,135.0,124.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1315000.0,h,2,1,0,2016-11,1900.0,85.0,147.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
426000.0,u,1,1,1,2016-08,,,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1447500.0,h,3,3 o más,1,2016-08,2012.0,174.0,166.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
457000.0,u,1,1,1,2016-08,,50.0,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1135000.0,h,2,2,2,2016-08,1920.0,128.0,98.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1542000.0,h,4,3 o más,1,2016-09,,,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1290000.0,h,3,2,2,2017-02,,18.0,147.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1290000.0,h,3,1,1,2017-02,1950.0,124.0,168.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
470000.0,u,1,1,1,2016-07,2013.0,50.0,0.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1180000.0,h,2,1,0,2016-11,1900.0,91.0,162.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1195000.0,h,3,2,1,2016-11,1998.0,128.0,120.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1012500.0,h,2,1,0,2016-05,1900.0,82.0,182.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
1030000.0,h,2,1,1,2016-07,1930.0,81.0,172.0,Abbotsford,2.5,Yarra,3067.0,171.9346405228758,70.42857142857143,9.697115384615385
840000.0,t,3,2,1,2016-03,2016.0,225.0,303.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
730000.0,h,3,2,1,2016-03,1965.0,145.0,0.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
770000.0,h,3,2,1,2017-04,1965.0,145.0,0.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
603000.0,h,2,1,1,2017-04,1950.0,84.0,272.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
700000.0,t,3,2,2,2017-04,2009.0,134.0,239.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
600000.0,h,3,1,1,2017-04,1980.0,116.0,290.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
500000.0,u,2,1,1,2017-04,2011.0,86.0,168.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
720000.0,h,3,1,1,2016-06,,,620.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
785000.0,h,4,1,2,2016-06,,127.0,597.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
725000.0,h,5 o más,3 o más,2,2016-07,1980.0,186.0,976.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
450000.0,t,2,1,1,2016-07,2015.0,90.0,110.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
515000.0,u,2,1,1,2016-07,2013.0,73.0,141.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
530000.0,u,2,1,1,2016-10,2012.0,94.0,120.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
895000.0,h,3,1,3 o más,2016-10,1975.0,133.0,1063.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
805000.0,h,3,1,1,2016-10,1950.0,105.0,0.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
752000.0,u,3,1,1,2017-11,1993.0,130.0,265.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
440000.0,u,2,1,1,2016-08,,,192.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
755000.0,h,5 o más,2,2,2016-05,,,596.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
700000.0,t,3,2,2,2016-10,2009.0,133.0,165.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
830000.0,h,3,1,2,2016-04,1960.0,113.0,971.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
462500.0,u,2,1,1,2016-07,2003.0,,164.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
670000.0,h,3,2,2,2016-07,,,657.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
675000.0,h,2,1,1,2016-07,1975.0,100.0,612.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
1042000.0,h,3,2,3 o más,2016-07,1950.0,174.0,612.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
910000.0,h,3,1,1,2016-09,,,775.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
773000.0,h,4,3 o más,3 o más,2016-09,1980.0,309.0,531.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
810000.0,h,3,3 o más,2,2017-03,1980.0,192.0,555.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
715000.0,h,3,2,2,2017-03,1995.0,126.0,422.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
790000.0,h,3,1,3 o más,2017-03,,,614.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
540000.0,t,3,2,1,2016-06,2010.0,101.0,161.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
825000.0,t,3,2,1,2016-11,1960.0,102.0,293.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
685000.0,h,3,1,1,2016-05,1975.0,113.0,579.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
805000.0,h,3,1,1,2016-08,,,623.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
510000.0,u,2,1,1,2016-08,,76.0,141.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
612000.0,h,3,2,1,2016-08,,,212.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
662000.0,h,3,1,2,2016-04,,,612.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
978000.0,h,4,3 o más,2,2016-09,,,532.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
720000.0,h,3,1,1,2017-02,,,585.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
765000.0,h,4,1,2,2016-11,,,509.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
900000.0,h,4,2,3 o más,2016-11,1975.0,146.0,628.0,Airport West,13.5,Moonee Valley,3042.0,109.9090909090909,68.58333333333333,9.555555555555555
1275000.0,h,2,1,0,2016-03,1900.0,82.0,120.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1455000.0,h,2,1,0,2016-03,,,159.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2850000.0,h,3,2,0,2017-04,1890.0,198.0,211.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1850000.0,h,3,2,0,2017-04,1890.0,133.0,128.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1436000.0,h,2,1,0,2017-04,1900.0,81.0,130.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1110000.0,h,2,1,0,2016-06,1900.0,,147.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1550000.0,h,2,1,1,2016-07,,,167.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2300000.0,h,4,2,1,2016-07,1880.0,180.0,153.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1550000.0,t,3,2,2,2016-07,,,718.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1800000.0,h,3,2,1,2016-07,1996.0,159.0,132.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2120000.0,h,2,1,1,2016-10,1900.0,107.0,199.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1800000.0,h,3,1,1,2016-10,,,253.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1800000.0,h,3,2,1,2016-10,1900.0,122.0,90.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1810000.0,h,2,1,0,2016-10,,,240.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2615000.0,h,3,2,1,2016-10,1880.0,181.0,177.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2100000.0,h,5 o más,2,1,2016-10,,,237.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1300000.0,h,3,1,0,2016-10,,,129.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1370000.0,h,3,2,2,2016-12,2000.0,85.0,0.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1000000.0,h,2,1,0,2016-12,,,288.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2575000.0,h,3,2,1,2016-10,,,228.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1322500.0,h,2,1,0,2016-10,1890.0,98.0,149.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1562500.0,h,2,1,0,2016-10,1890.0,83.0,141.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2000000.0,h,3,2,1,2016-04,1900.0,147.0,211.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1900000.0,h,3,1,0,2017-03,1900.0,,209.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
3010000.0,h,3,2,0,2017-03,1890.0,146.0,147.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2800000.0,h,4,3 o más,1,2016-06,1910.0,254.0,327.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
647000.0,u,2,1,1,2016-05,,,0.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2100000.0,h,3,1,1,2016-04,1900.0,123.0,120.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2000000.0,h,3,1,1,2016-09,1890.0,131.0,238.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
442500.0,u,1,1,0,2017-02,1970.0,34.0,0.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1340000.0,h,2,1,0,2017-02,,,136.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1801000.0,h,3,1,1,2017-02,,,202.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1532000.0,h,3,3 o más,1,2016-07,,,0.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2140000.0,h,4,2,1,2016-06,1880.0,145.0,183.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1750000.0,h,2,1,1,2016-11,,,162.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
980000.0,h,2,1,0,2016-05,1890.0,68.0,79.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2030000.0,h,3,2,0,2016-08,,,152.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
1740000.0,h,3,2,2,2016-08,1890.0,134.0,147.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2800000.0,h,3,3 o más,1,2016-07,,,0.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
985000.0,h,1,1,0,2016-07,1900.0,54.0,81.0,Albert Park,3.3,Port Phillip,3206.0,263.1630434782609,125.93333333333334,9.896907216494846
2000000.0,h,4,2,3 o más,2016-03,1930.0,263.0,853.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1110000.0,h,3,2,2,2016-03,2013.0,,208.0,Alphington,6.4,Yarra,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1492000.0,h,3,2,2,2017-04,,,411.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1717500.0,h,4,2,1,2016-08,1925.0,203.0,599.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
2840000.0,h,5 o más,3 o más,3 o más,2016-12,1910.0,165.0,809.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
525500.0,u,2,1,1,2016-12,1960.0,60.0,88.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
805000.0,t,2,2,3 o más,2016-12,2004.0,140.0,155.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
465000.0,u,2,1,1,2016-12,,,0.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
2000000.0,h,3,3 o más,2,2016-10,,,686.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1540000.0,h,3,1,2,2016-04,,,592.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
820000.0,u,2,1,1,2017-03,,,183.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1830000.0,h,4,2,2,2016-11,1970.0,112.0,606.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
2100000.0,h,4,2,2,2016-11,2008.0,271.0,575.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
865000.0,h,3,1,1,2016-05,2010.0,131.0,180.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
390000.0,u,2,1,1,2016-05,1960.0,60.0,0.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
650000.0,t,2,1,0,2016-09,,,0.0,Alphington,6.4,Yarra,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
512000.0,u,2,1,1,2017-02,1965.0,61.0,0.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1165000.0,h,3,1,2,2016-06,,,979.0,Alphington,6.4,Yarra,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1900000.0,h,4,2,2,2016-11,1930.0,272.0,556.0,Alphington,6.4,Yarra,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1485000.0,h,3,1,0,2016-08,,,597.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
1950000.0,h,4,2,3 o más,2016-07,1920.0,210.0,589.0,Alphington,6.4,Darebin,3078.0,155.44444444444446,69.28947368421052,9.372881355932204
520000.0,h,3,2,1,2016-03,2015.0,242.0,352.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
1525000.0,h,5 o más,3 o más,3 o más,2016-03,2005.0,268.0,729.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
720000.0,t,2,1,2,2016-04,2013.0,125.0,292.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
1120000.0,h,3,1,2,2017-04,1930.0,120.0,506.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
780000.0,h,4,1,3 o más,2016-04,,,655.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
1780000.0,h,4,3 o más,3 o más,2016-04,1962.0,220.0,1057.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
630000.0,u,3,1,2,2016-06,1955.0,94.0,311.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
406000.0,u,2,1,1,2016-06,,,65.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
660000.0,h,3,1,1,2016-07,1955.0,123.0,602.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
683500.0,h,3,1,1,2016-07,,,530.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
580000.0,u,2,1,1,2016-08,1988.0,93.0,225.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
1335000.0,h,3,1,3 o más,2016-08,1953.0,22.0,777.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
800000.0,t,3,2,2,2016-08,1997.0,,280.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
510000.0,u,2,1,1,2016-10,1990.0,76.0,127.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
1070000.0,h,4,2,2,2016-10,,,695.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
425000.0,u,2,1,2,2016-10,1980.0,57.0,115.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
605000.0,u,3,2,2,2016-10,,,230.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
705000.0,t,3,2,2,2017-11,,152.0,197.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
391000.0,u,2,1,1,2017-11,1965.0,65.0,0.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
440000.0,u,2,1,1,2017-11,,,0.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
845000.0,h,4,1,2,2017-11,1950.0,130.0,745.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
743000.0,t,3,2,2,2016-12,,176.0,211.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
730000.0,u,3,2,1,2016-08,2014.0,141.0,69.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
635000.0,h,3,1,3 o más,2016-05,1960.0,,625.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
620000.0,u,2,1,1,2016-05,,,168.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
447000.0,u,2,1,1,2016-10,1990.0,77.0,137.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
730000.0,u,3,2,1,2016-04,,,70.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
678000.0,h,3,1,2,2016-04,1950.0,87.0,606.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
580000.0,u,2,2,1,2016-07,2013.0,76.0,175.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
712000.0,h,3,1,2,2016-09,,,363.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
840000.0,h,3,2,2,2017-03,1965.0,136.0,534.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
980000.0,h,3,1,2,2016-11,,,724.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
605100.0,t,3,2,0,2016-05,,,265.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
880000.0,h,3,3 o más,1,2016-08,,,577.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
577000.0,u,3,2,1,2016-04,2007.0,113.0,205.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
1030000.0,h,4,1,0,2017-02,,,797.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
605000.0,u,3,1,2,2017-02,,,181.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
753000.0,h,3,2,2,2016-06,,,529.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
857000.0,h,2,2,1,2016-11,1950.0,100.0,675.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
1500000.0,h,3,1,1,2016-05,,,929.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
730000.0,u,3,2,1,2016-05,2014.0,3.0,70.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
900000.0,h,3,1,3 o más,2016-05,,,697.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
740000.0,h,3,1,2,2016-08,,,604.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
931000.0,h,4,2,3 o más,2016-08,1970.0,,532.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
535600.0,h,2,1,1,2016-07,1996.0,91.0,154.0,Altona,13.8,Hobsons Bay,3018.0,140.36363636363637,62.46153846153846,9.483870967741936
1085000.0,h,5 o más,3 o más,3 o más,2016-03,1965.0,251.0,592.0,Altona North,11.1,Hobsons Bay,3025.0,167.77777777777777,53.0,9.285714285714286
